"id","weights","act_personal","act_household","act_carehhm","act_carenhm","act_work","act_school","act_groceries","act_ppservice","act_hhservice","act_admin","act_eating","act_leisure","act_sport","act_religious","act_volunteer","act_other","trv_personal","trv_household","trv_care_child","trv_care_adult","trv_work","trv_school","trv_groceries","trv_ppservice","trv_hhservice","trv_admin","trv_eating","trv_leisure","trv_sport","trv_religious","trv_volunteer","trv_other","act_buyfood","act_shopping","trv_buyfood","trv_shopping","trv_social","act","trv","budget","age","female","eldertime","childtime","children","youngest","spouse","spousework","work","multijob","FTjob","PTjob","worktime","school","weekend","holiday","metro","trv.eatout_w.spouse","trv.eating_w.spouse","trv.eating_w.hhchild","trv.social_w.hhchild","trv.shop_w.spouse","trv.groceries_w.spouse","trv.care_w.hhchild","trv.social_w.spouse","trv.food_w.spouse","trv.religious_w.spouse","trv.groceries_w.hhchild","trv.food_w.hhchild","trv.religious_w.hhchild","trv.care_w.spouse","trv.shop_w.hhchild","trv.care_w.elder","trv.care_w.nhchild","income","inc"
"20221010222482",41668334.882249,470,30,0,0,0,450,0,0,0,0,120,315,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,55,1440,17,0,0,0,1,17,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"$75,000 - $99,999"
"20221010222485",6820243.096534,510,67,0,45,0,0,0,0,0,0,45,773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"$25,000 - $49,999"
"20221010222533",3696747.811148,680,0,0,0,0,0,0,0,0,0,125,555,20,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"$25,000 - $49,999"
"20221010222549",7401311.383705,720,90,0,0,0,0,0,0,0,0,60,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,260,10,0,20,0,0,1143,297,1440,29,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221010222558",14951561.356291,460,320,480,0,0,0,0,0,0,0,60,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,34,1,0,540,2,0,1,1,1,0,1,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221010222577",4274752.263264,510,40,0,0,0,0,0,0,0,0,45,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1430,10,1440,59,0,0,0,0,0,0,0,1,0,1,0,44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221108220827",45823682.960019,402,45,0,0,625,0,0,0,0,0,30,0,0,0,277,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,6,0,0,15,0,20,0,1394,46,1440,26,0,15,0,0,0,0,0,1,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"$25,000 - $49,999"
"20221108221167",15265838.343497,616,95,5,0,482,0,0,12,0,0,40,70,55,0,0,45,0,0,10,0,3,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,1420,20,1440,45,1,0,0,1,14,1,1,1,0,1,0,40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221108221642",20730866.95974,780,0,0,0,0,0,0,0,0,0,30,370,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1420,20,1440,19,0,0,0,1,17,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221108222123",6285677.666576,790,90,0,0,0,0,0,0,0,0,120,240,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,1420,20,1440,43,1,0,0,2,11,1,1,1,0,1,0,40,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
